X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,LONG_CEN,LAT_CEN,SCH_CLASS,DISTRICT,PIN,MAJOR,MINOR,FEATUREDES,OSPI_CODE
-122.297113947268,47.690550571973,161,6600006,347544,660,Wedgewood Elementary School,Wedgewood,2720 NE 85th St ,98115,-122.29711532,47.69054872,10,SEATTLE,0439000615,043900,0615,School-Elementary,3026
-122.367966949986,47.4987344942103,162,1203,134,660,Shorewood Elementary School,Shorewood,2725 SW 116th St,98146,-122.36796918,47.49873268,10,HIGHLINE,1842000190,184200,0190,School-Elementary,2842
-122.151939337143,47.3537842598197,163,567,660039,660,Horizon Elementary School,Horizon,27641 144th Ave SE,98042,-122.15194235,47.35378209,10,KENT,3422059036,342205,9036,School-Elementary,4345
-122.195757898273,47.35335324822,164,6600277,669375,660,Meadow Ridge Elementary School,Meadow Ridge,27710 108th Ave SE,98030,-122.19576093,47.35335118,10,KENT,3222059015,322205,9015,School-Elementary,4465
-122.299580445812,47.7746371320014,165,6600710,16158,660,Cascade K-8 School,Cascade,2800 NE 200th St,98155,-122.29958147,47.77463541,10,SHORELINE,2636900086,263690,0086,School-Elementary,
-122.367856035844,47.3169093164068,166,319,2380,662,Decatur High School,Decatur,2800 SW 320th St,98023,-122.36785927,47.3169076,10,FEDERAL WAY,1221039034,122103,9034,School-High,3766
-122.183768456551,47.636056231556,167,168,144130,660,The Little School,The Little,2812 116th Ave NE,98004,-122.18377003,47.63605416,20,BELLEVUE,2125059046,212505,9046,School-Elementary,0
-122.296286011004,47.5522610284543,168,908,499919,660,Dearborn Park International Elementary School,Dearborn Park Intl,2820 S Orcas St,98108,-122.296288,47.55225915,10,SEATTLE,7857000410,785700,0410,School-Elementary,3803
-122.086571207304,47.3446312964462,169,566,699051,660,Grass Lake Elementary School,Grass Lake,28700 191st Pl SE,98042,-122.08657427,47.34462898,10,KENT,3122069056,312206,9056,School-Elementary,3708
-122.171871594904,47.341982351253,170,2335,681537,662,Auburn Mountainview High School,Mountainview,28900 124th Ave SE,98092,-122.17187468,47.34198023,10,AUBURN,0421059051,042105,9051,School-High,5037
-121.952479173676,47.7356316820958,171,275,192,662,Cedarcrest High School,Cedarcrest,29000 NE 150th St,98019,-121.9524801,47.73562933,10,RIVERVIEW,1826079013,182607,9013,School-High,3524
-122.168019214497,47.3400838360532,172,6600684,773630,660,Arthur Jacobsen Elementary School,Arthur Jacobsen,29205 132nd Ave SE,98092,-122.16802231,47.3400817,10,AUBURN,0421059057,042105,9057,School-Elementary,
-122.220773479587,47.4743991122174,173,6600377,580032,665,Administration Center-Renton,Admin,300 SW 7th St,98057,-122.22077583,47.4743971,10,RENTON,1823059253,182305,9253,School-Other Facility,0
-122.385270448918,47.5769740076029,174,1003,470930,662,West Seattle High School,West Seattle,3000 California Ave SW,98116,-122.38527233,47.57697226,10,SEATTLE,8702100050,870210,0050,School-High,2234
-122.148941300986,47.5840692375593,175,191,155119,663,Bellevue College,Bellevue College,3000 Landerholm Cir SE,98007,-122.14894309,47.58406708,10,BELLEVUE,1024059008,102405,9008,School-College or University,0
-122.176754181618,47.4939136773278,176,714,580177,663,Renton Technical College,Renton Tech,3000 NE 4th St,98056,-122.17675641,47.49391155,10,RENTON,7227800450,722780,0450,School-College or University,5955
-122.407826505764,47.5771410476857,177,987,466948,660,Alki Elementary School,Alki,3010 59th Ave SW,98116,-122.40782838,47.57713933,10,SEATTLE,0148000064,014800,0064,School-Elementary,2181
-122.338532734295,47.3255374122399,178,322,2369,660,Lake Grove Elementary School,Lake Grove,303 SW 308th St,98023,-122.33853593,47.32553564,10,FEDERAL WAY,0721049180,072104,9180,School-Elementary,3568
-122.101523198366,47.6373530529062,179,608,12156,660,John James Audubon Elementary School,John James Audubon,3045 180th Ave NE,98052,-122.10152471,47.63735083,10,LAKE WASHINGTON,2425059100,242505,9100,School-Elementary,3548
-122.324609364687,47.3272956438926,180,102,2367,660,St. Vincent De Paul School,St. Vincent De Paul,30527 8th Ave S,98003,-122.32461255,47.32729384,20,FEDERAL WAY,0821049005,082104,9005,School-Elementary,0
-122.313940335862,47.3280773506081,181,81,2368,662,Federal Way High School,Federal Way,30611 16th Ave S,98003,-122.31394351,47.32807553,10,FEDERAL WAY,0821049001,082104,9001,School-High,2417
-122.185548819773,47.3274083911996,182,63,25,661,Rainier Middle School,Rainier,30620 116th Ave SE,98092,-122.18555199,47.3274063,10,AUBURN,0921059123,092105,9123,School-Junior High/Middle,4385
-122.175401091577,47.3249984155346,183,54,24,660,Lea Hill Elementary School,Lea Hill,30908 124th Ave SE,98092,-122.17540428,47.3249963,10,AUBURN,0921059005,092105,9005,School-Elementary,3525
-122.298832899494,47.3192912904968,184,77,2378,664,Truman High School Campus,Truman Campus,31455 28th Ave S,98003,-122.29883613,47.31928944,10,FEDERAL WAY,0921049054,092104,9054,School-Alternative,5163
-122.299735335037,47.3192606718392,185,6600144,979437,666,Internet Academy,Internet Academy,31457 28th Ave S,98003,-122.29973856,47.31925882,10,FEDERAL WAY,0921049054,092104,9054,School-K-12,1759
